timestamp,open,high,low,close,volume
2019-11-08,144.2600,145.9900,142.9700,145.9600,118768271
2019-10-31,139.6600,145.6700,133.2200,143.3700,548734700
2019-09-30,136.6100,142.3700,134.5100,139.0300,472544800
2019-08-30,137.0000,140.9400,130.7800,137.8600,584482000
2019-07-31,136.6300,141.6800,134.6700,136.2700,484079900
2019-06-28,123.8500,138.4000,119.0100,133.9600,508324300
2019-05-31,130.5300,130.6500,123.0400,123.6800,547218800
2019-04-30,118.9500,131.3700,118.1000,130.6000,433157700
2019-03-29,112.8900,120.8200,108.8000,117.9400,589095800
2019-02-28,103.7750,113.2400,102.3500,112.0300,469095900
2019-01-31,99.5500,107.9000,97.2000,104.4300,714212800
2018-12-31,113.0000,113.4200,93.9600,101.5700,944314600
2018-11-30,107.0500,112.2409,99.3530,110.8900,720228600
2018-10-31,114.7500,116.1796,100.1100,106.8100,927548000
2018-09-28,110.8500,115.2900,107.2300,114.3700,480255500
2018-08-31,106.0300,112.7770,104.8400,112.3300,456628100
2018-07-31,98.1000,111.1500,98.0003,106.0800,569352300
2018-06-29,99.2800,102.6900,97.2600,98.6100,602585200
2018-05-31,93.2100,99.9900,92.4500,98.8400,509417900
2018-04-30,90.4584,97.9000,87.5100,93.5200,668130700
2018-03-29,93.9900,97.2400,87.0800,91.2700,750754800
2018-02-28,94.7900,96.0700,83.8357,93.7700,725663300
2018-01-31,86.1250,95.4500,85.5000,95.0100,574258400
2017-12-29,83.6000,87.5000,80.7000,85.5400,466203300
2017-11-30,83.6838,85.0600,82.2400,84.1700,421926000
2017-10-31,74.7100,86.2000,73.7100,83.1800,449950000
2017-09-29,74.7100,75.9664,72.9200,74.4900,375983900
2017-08-31,73.0925,74.9666,71.2800,74.7700,444070500
2017-07-31,69.3300,74.4200,68.0200,72.7000,469851200
2017-06-30,70.2400,72.8900,68.0900,68.9300,629716800
2017-05-31,68.6800,70.7400,67.1400,69.8400,517218500
2017-04-28,65.8100,69.1364,64.8500,68.4600,433191200
2017-03-31,64.1300,66.1900,63.6200,65.8600,489169700
2017-02-28,64.3550,65.2400,62.7500,63.9800,440744000
2017-01-31,62.7900,65.9100,61.9500,64.6500,493453500
2016-12-30,60.1100,64.1000,58.8000,62.1400,513579700
2016-11-30,59.9700,61.4100,57.2800,60.2600,613056800
